Date,Open,High,Low,Close
Nov 7 2022,20905.58,21069.77,20384.89,20591.13
Nov 8 2022,20590.67,20700.88,17166.83,18547.23
Nov 9 2022,18545.38,18587.76,15588,15922.81
Nov 10 2022,15922.68,18199,15754.26,17601.15
Nov 11 2022,17602.45,17695,16361.6,17070.31
Nov 12 2022,17069.98,17119.1,16631.39,16812.08
Nov 13 2022,16813.16,16954.28,16229,16329.85
Nov 14 2022,16331.78,17190,15815.21,16619.46
Nov 15 2022,16617.72,17134.69,16527.72,16900.57
Nov 16 2022,16900.57,17015.92,16378.61,16662.76
Nov 17 2022,16661.61,16751,16410.74,16692.56
Nov 18 2022,16692.56,17011,16546.04,16700.45
Nov 19 2022,16699.43,16822.41,16553.53,16700.68
Nov 20 2022,16700.68,16753.33,16180,16280.23
Nov 21 2022,16279.5,16319,15476,15781.29
Nov 22 2022,15781.29,16315,15616.63,16226.94
Nov 23 2022,16227.96,16706,16160.2,16603.11
Nov 24 2022,16603.11,16812.63,16458.05,16598.95
Nov 25 2022,16599.55,16666,16342.81,16522.14
Nov 26 2022,16521.35,16701.99,16385,16458.57
Nov 27 2022,16457.61,16600,16401,16428.78
Nov 28 2022,16428.77,16487.04,15995.27,16212.91
Nov 29 2022,16212.18,16548.71,16100,16442.53
Nov 30 2022,16442.91,17249,16428.3,17163.64
Dec 1 2022,17165.53,17324,16855.01,16977.37
Dec 2 2022,16978,17105.73,16787.85,17092.74
Dec 3 2022,17092.13,17188.98,16858.74,16885.2
Dec 4 2022,16885.2,17202.84,16878.25,17105.7
Dec 5 2022,17106.65,17424.25,16867,16966.35
Dec 6 2022,16966.35,17107.01,16906.37,17088.96
Dec 7 2022,17088.96,17142.21,16678.83,16836.64
Dec 8 2022,16836.64,17299,16733.49,17224.1
Dec 9 2022,17224.1,17360,17058.21,17128.56
Dec 10 2022,17128.56,17227.72,17092,17127.49
Dec 11 2022,17127.49,17270.99,17071,17085.05
Dec 12 2022,17085.05,17241.89,16871.85,17209.83
Dec 13 2022,17208.93,18000,17080.14,17774.7
Dec 14 2022,17775.82,18387.95,17660.94,17803.15
Dec 15 2022,17804.01,17854.82,17275.51,17356.34
Dec 16 2022,17356.96,17531.73,16527.32,16632.12
Dec 17 2022,16631.5,16796.82,16579.85,16776.52
Dec 18 2022,16777.54,16863.26,16663.07,16738.21
Dec 19 2022,16739,16815.99,16256.3,16438.88
Dec 20 2022,16438.88,17061.27,16397.2,16895.56
Dec 21 2022,16896.15,16925,16723,16824.67
Dec 22 2022,16824.68,16868.52,16559.85,16821.43
Dec 23 2022,16821.9,16955.14,16731.13,16778.5
Dec 24 2022,16778.52,16869.99,16776.62,16836.12
Dec 25 2022,16835.73,16857.96,16721,16832.11
Dec 26 2022,16832.11,16944.52,16791,16919.39
Dec 27 2022,16919.39,16972.83,16592.37,16706.36
Dec 28 2022,16706.06,16785.19,16465.33,16547.31
Dec 29 2022,16547.32,16664.41,16488.91,16633.47
Dec 30 2022,16633.47,16677.35,16333,16607.48
Dec 31 2022,16607.48,16644.09,16470,16542.4
Jan 1 2023,16541.77,16628,16499.01,16616.75
Jan 2 2023,16617.17,16799.23,16548.7,16672.87
Jan 3 2023,16672.78,16778.4,16605.28,16675.18
Jan 4 2023,16675.65,16991.87,16652.66,16850.36
Jan 5 2023,16850.36,16879.82,16753,16831.85
Jan 6 2023,16831.85,17041,16679,16950.65
Jan 7 2023,16950.31,16981.91,16908,16943.57
Jan 8 2023,16943.83,17176.99,16911,17127.83
Jan 9 2023,17127.83,17398.8,17104.66,17178.26
Jan 10 2023,17179.04,17499,17146.34,17440.66
Jan 11 2023,17440.64,18000,17315.6,17943.26
Jan 12 2023,17943.26,19117.04,17892.05,18846.62
Jan 13 2023,18846.62,20000,18714.12,19930.01
Jan 14 2023,19930.01,21258,19888.05,20954.92
Jan 15 2023,20952.76,21050.74,20551.01,20871.5
Jan 16 2023,20872.99,21474.05,20611.48,21185.65
Jan 17 2023,21185.65,21647.45,20841.31,21134.81
Jan 18 2023,21132.29,21650,20407.15,20677.47
Jan 19 2023,20677.47,21192,20659.19,21071.59
Jan 20 2023,21071.59,22755.93,20861.28,22667.21
Jan 21 2023,22666,23371.8,22422,22783.55
Jan 22 2023,22783.35,23078.71,22292.37,22707.88
Jan 23 2023,22706.02,23180,22500,22916.45
Jan 24 2023,22917.81,23162.2,22462.93,22632.89
Jan 25 2023,22631.94,23816.73,22300,23060.94
Jan 26 2023,23060.42,23282.47,22850.01,23009.65
Jan 27 2023,23009.65,23500,22534.88,23074.16
Jan 28 2023,23074.16,23189,22878.46,23022.6
Jan 29 2023,23021.4,23960.54,22967.76,23742.3
Jan 30 2023,23743.37,23800.51,22500,22826.15
Jan 31 2023,22827.38,23320,22714.77,23125.13
Feb 1 2023,23125.13,23812.66,22760.23,23732.66
Feb 2 2023,23731.41,24255,23363.27,23488.94
Feb 3 2023,23489.33,23715.7,23204.62,23431.9
Feb 4 2023,23431.9,23587.78,23253.96,23326.84
Feb 5 2023,23327.66,23433.33,22743,22932.91
Feb 6 2023,22932.91,23158.25,22628.13,22762.52
Feb 7 2023,22762.52,23350.25,22745.78,23240.46
Feb 8 2023,23242.42,23452,22665.85,22963
Feb 9 2023,22961.85,23011.39,21688,21796.35
Feb 10 2023,21797.83,21938.16,21451,21625.19
Feb 11 2023,21625.19,21906.32,21599.78,21862.55
Feb 12 2023,21862.02,22090,21630,21783.54
Feb 13 2023,21782.37,21894.99,21351.07,21773.97
Feb 14 2023,21774.63,22319.08,21532.77,22199.84
Feb 15 2023,22199.84,24380,22047.28,24324.05
Feb 16 2023,24322.87,25250,23505.25,23517.72
Feb 17 2023,23517.72,25021.11,23339.37,24569.97
Feb 18 2023,24568.24,24877,24430,24631.95
Feb 19 2023,24632.05,25192,24192.57,24271.76
Feb 20 2023,24272.51,25121.23,23840.83,24842.2
Feb 21 2023,24843.89,25250,24148.34,24452.16
Feb 22 2023,24450.67,24476.05,23574.69,24182.21
Feb 23 2023,24182.21,24599.59,23608,23940.2
Feb 24 2023,23940.2,24132.35,22841.19,23185.29
Feb 25 2023,23184.04,23219.13,22722,23157.07
Feb 26 2023,23157.07,23689.99,23059.18,23554.85
Feb 27 2023,23554.85,23897.99,23106.77,23492.09
Feb 28 2023,23492.09,23600,23020.97,23141.57
Mar 1 2023,23141.57,24000,23020.03,23628.97
Mar 2 2023,23629.76,23796.93,23195.9,23465.32
Mar 3 2023,23465.32,23476.95,21971.13,22354.34
Mar 4 2023,22354.34,22410,22157.08,22346.57
Mar 5 2023,22346.57,22662.09,22189.22,22430.24
Mar 6 2023,22430.24,22602.19,22258,22410
Mar 7 2023,22409.41,22557.91,21927,22197.96
Mar 8 2023,22198.56,22287,21580,21705.44
Mar 9 2023,21704.37,21834.99,20042.72,20362.22
Mar 10 2023,20362.21,20367.78,19549.09,20150.69
Mar 11 2023,20150.69,20686.51,19765.03,20455.73
Mar 12 2023,20455.73,22150,20270.6,21997.11
Mar 13 2023,21998.05,24500,21813.88,24113.48
Mar 14 2023,24112.27,26386.87,23976.42,24670.41
Mar 15 2023,24670.41,25196.97,23896.95,24285.66
Mar 16 2023,24285.66,25167.4,24123,24998.78
Mar 17 2023,24998.78,27756.84,24890,27395.13
Mar 18 2023,27395.13,27724.85,26578,26907.49
Mar 19 2023,26907.49,28390.1,26827.22,27972.87
Mar 20 2023,27972.87,28472,27124.47,27717.01
Mar 21 2023,27717.01,28438.55,27303.1,28105.47
Mar 22 2023,28107.81,28868.05,26601.8,27250.97
Mar 23 2023,27250.97,28750,27105,28295.41
Mar 24 2023,28295.42,28374.3,27000,27454.47
Mar 25 2023,27454.46,27787.33,27156.09,27462.95
Mar 26 2023,27462.96,28194.4,27417.76,27968.05
Mar 27 2023,27968.05,28023.86,26508.14,27124.91
Mar 28 2023,27124.9,27520,26631.78,27261.07
Mar 29 2023,27261.06,28650,27240.1,28348.6
Mar 30 2023,28348.6,29184.68,27686,28028.53
Mar 31 2023,28028.53,28656.69,27511.71,28465.36
